"Invariant_GeV2","OnShell_Mean_GeV-1","OnShell_Sigma_GeV-1","Continuous_Mean_GeV-1","Continuous_Sigma_GeV-1"
0.7262372553727064,1.3853985213400271e-8,1.323930577062467e-9,1.4961333082446608e-8,1.2238320565407795e-9
0.7386586328961181,9.502066324481707e-9,9.273437514984908e-10,1.0579711025833277e-8,8.336762474637762e-10
0.7510800104195299,6.544695124112421e-9,6.484711182131488e-10,7.587968196180743e-9,5.672244039548942e-10
0.7635013879429415,4.505062953121604e-9,4.503103977620409e-10,5.5090333021916785e-9,3.8902845627273245e-10
0.7759227654663532,3.084914992270975e-9,3.089788024272998e-10,4.0443807263757485e-9,2.7677863018385976e-10
0.7883441429897649,2.0911108828434383e-9,2.0840173359431718e-10,3.0005937303957097e-9,2.1381833786920843e-10
0.8007655205131766,1.3951464151537195e-9,1.3738377702067564e-10,2.248961610481522e-9,1.8338100089885431e-10
0.8131868980365883,9.096630119196035e-10,8.791065607262907e-11,1.7021396105732053e-9,1.6896372423642312e-10
0.8256082755599999,5.742153736704822e-10,5.4122565508646455e-11,1.2999722958397922e-9,1.5909438231528142e-10
0.8292776456736,4.972569947267199e-10,4.6474651938310284e-11,1.202353899055242e-9,1.5613317442273602e-10
0.8329470157872,4.2874064091690905e-10,3.97168711749745e-11,1.112778826439573e-9,1.530070555190034e-10
0.8366163859008,3.678819766867051e-10,3.3764735055906496e-11,1.0304863531125523e-9,1.4967545678709705e-10
0.8402857560143999,3.1396912814964826e-10,2.8540613679496662e-11,9.547909699238063e-10,1.4611516564128457e-10
0.843955126128,2.663550655725759e-10,2.3973179185303374e-11,8.850748429874044e-10,1.4231643718995216e-10
0.8476244962416,2.2445080569393387e-10,1.9996905731892933e-11,8.207810935785073e-10,1.3827986610605285e-10
0.8512938663551999,1.8771933350527006e-10,1.6551618050347796e-11,7.614077980186697e-10,1.3401390450726977e-10
0.8549632364687999,1.5567015204610405e-10,1.3582081669340101e-11,7.065026160963672e-10,1.295329117775612e-10
0.8586326065823999,1.2785433770981844e-10,1.1037626743985612e-11,6.556579255167896e-10,1.2485563314656981e-10
0.862301976696,1.0386019796615923e-10,8.871804799758333e-12,6.085065592829156e-10,1.2000402009176847e-10
0.8659713468096,8.330999671140132e-11,7.042115057916455e-12,5.647186112154164e-10,1.1500233736576992e-10
0.8696407169231999,6.585582545044682e-11,5.509681190583892e-12,5.23997387812159e-10,1.098764560125417e-10
0.8733100870368,5.117628811511129e-11,4.238969378891555e-12,4.860761742481302e-10,1.0465332211692729e-10
0.8769794571503999,3.89736306634908e-11,3.1975320707282814e-12,4.50715445657265e-10,9.936056066306996e-11
0.880648827264,2.8971145339522205e-11,2.3557650907363496e-12,4.1770035357189174e-10,9.402618223914168e-11
0.8843181973776,2.0910819662249574e-11,1.6866758429972778e-12,3.868384575860199e-10,8.867837089949181e-11
0.8879875674911999,1.4551203454496664e-11,1.1656607333210186e-12,3.57957675548827e-10,8.334533643010871e-11
0.8916569376048,9.665469961513822e-12,7.702903158920562e-13,3.3090442833565894e-10,7.805521814769931e-11
0.8953263077183999,6.039649394248414e-12,4.801010334595759e-13,3.055419575279793e-10,7.283603043239025e-11
0.898995677832,3.4710150855451225e-12,2.7639275831198595e-13,2.817487961873418e-10,6.77156426508572e-11
