"Invariant_GeV2","OnShell_Mean_GeV-1","OnShell_Sigma_GeV-1","Continuous_Mean_GeV-1","Continuous_Sigma_GeV-1"
0.38433059094193617,2.3633776309331042e-7,1.9529174049365595e-8,2.3709154682924042e-7,1.9658887033469095e-8
0.39370450779173954,2.1825134746530437e-7,1.820684491202461e-8,2.1900092701757264e-7,1.8338042254917856e-8
0.4030784246415429,2.0180672645171273e-7,1.6991816255041824e-8,2.025526975428047e-7,1.7124475573149652e-8
0.4124523414913462,1.868104180383432e-7,1.587108630488246e-8,1.8755333801909508e-7,1.600518998225309e-8
0.42182625834114945,1.7311822369633254e-7,1.4834871278167812e-8,1.7385860900316283e-7,1.4970403057968328e-8
0.43120017519095283,1.6061960505278867e-7,1.3875486616448556e-8,1.613579281884714e-7,1.4012430162919169e-8
0.44057409204075615,1.4923678011403443e-7,1.2987099276607183e-8,1.4997346598981966e-7,1.3125437692553253e-8
0.44994800889055947,1.3894482687412658e-7,1.216650309556406e-8,1.3968024827968593e-7,1.230621938177353e-8
0.45932192574036274,1.2988380614932424e-7,1.1417921565852004e-8,1.306182780072676e-7,1.1559002767106215e-8
0.4686958425901661,1.2285942775981133e-7,1.0777293881184596e-8,1.23593199648029e-7,1.0919803583297375e-8
0.47806975943996943,1.1321868260199366e-7,1.0036915316606657e-8,1.139519287438134e-7,1.0180657526628756e-8
0.48744367628977275,1.0429090706637807e-7,9.339299807794928e-9,1.050237125080587e-7,9.484207837497914e-9
0.4968175931395761,9.597161139134072e-8,8.679657088990733e-9,9.670395223285799e-8,8.825655705820731e-9
0.5061915099893795,8.819871879929764e-8,8.054596879872579e-9,8.89304327383839e-8,8.20158958813697e-9
0.5155654268391827,8.092258962597358e-8,7.46128721351379e-9,8.165332982354004e-8,7.609144864126527e-9
0.5249393436889861,7.410110963876841e-8,6.897293280850413e-9,7.483026765410382e-8,7.045836822075899e-9
0.5343132605387894,6.769775556564745e-8,6.360498232459767e-9,6.84243205136384e-8,6.5094681841913105e-9
0.5436871773885927,6.168047212966858e-8,5.849047420859384e-9,6.240273431975914e-8,5.998040639625715e-9
0.553061094238396,5.6020866754574734e-8,5.361302387005996e-9,5.6735596911207634e-8,5.509598936119011e-9
0.5624350110881994,5.069355795290818e-8,4.895799525974166e-9,5.1391264740040806e-8,5.041364484909113e-9
0.5718089279380026,4.567560336946387e-8,4.451210450159139e-9,4.6355682349868626e-8,4.593822488376305e-9
0.581182844787806,4.094595996100604e-8,4.026301253747472e-9,4.1616084339431884e-8,4.167520617441974e-9
0.5905567616376093,3.6484931105986804e-8,3.6198870322716797e-9,3.715309463214136e-8,3.761372661051871e-9
0.5999306784874127,3.227354089502824e-8,3.2307759238794575e-9,3.2948191816147224e-8,3.374315400594558e-9
0.6093045953372159,2.829273774389401e-8,2.8576925494123464e-9,2.8982994367184333e-8,3.0052518110335375e-9
0.6120126157609368,2.7182833679198953e-8,2.7526950033293956e-9,2.787942924988669e-8,2.901815766834105e-9
0.6147206361846579,2.608997672215348e-8,2.648874062737893e-9,2.6793786018249288e-8,2.799749414978654e-9
0.6174286566083788,2.501361834207242e-8,2.5461863035671204e-9,2.5725552855396707e-8,2.6990185116911135e-9
0.6201366770320997,2.3953178592946866e-8,2.4445844995842074e-9,2.4674191996157936e-8,2.599586328625431e-9
