"Scenario","WidthCentral","WidthSigma","BRCentral","BRSigma","CentroidCentral","CentroidSigma","MassShiftMeVCentral","MassShiftMeVSigma","GGOutsidePercentCentral","GGOutsidePercentSigma","PiGammaOutsidePercentCentral","PiGammaOutsidePercentSigma"
"SM",1.6681119209576875e-10,1.3549966541205745e-11,0.00012733678785936545,0.000010768424050638476,0.547862,0.000016063932450730417,0.,0.,0.,0.,0.,0.
"On-shell VB",3.3974938318062027e-10,4.0728645046639536e-11,0.0002593506741836796,0.00003006138701513357,0.547862,0.000016063932450730417,0.,0.,0.,0.,0.,0.
"50 MeV",3.4443094847560034e-10,4.192493836512872e-11,0.00026292438814931325,0.000030912254391464015,0.549448447931106,0.0002679004791210447,1.586447931106072,0.26443617696785676,0.31972158514305904,0.05328793650379745,0.015777011241081294,0.0026294026405799475
"75 MeV",3.5063186879545744e-10,4.352065789929517e-11,0.0002676579151110362,0.00003204958181680004,0.5516685650742053,0.0006254425325635767,3.8065650742052926,0.622252347252955,0.7327341820419047,0.11976832435475593,0.08210468950483221,0.013419615373034013
"100 MeV",3.599811696441963e-10,4.594792459473702e-11,0.0002747947859879361,0.000033784148318181854,0.5552109249871415,0.0011705645803793397,7.34892498714157,1.1674787140147922,1.3890812328007875,0.22065607862974082,0.2650658598322928,0.042103653835673216
