"Scenario","WidthCentral","WidthSigma","BRCentral","BRSigma","CentroidCentral","CentroidSigma","MassShiftMeVCentral","MassShiftMeVSigma","GGOutsidePercentCentral","GGOutsidePercentSigma","PiGammaOutsidePercentCentral","PiGammaOutsidePercentSigma"
"SM",1.6681119209576875e-10,1.3549966541205745e-11,0.00012733678785936545,0.000010768424050638476,0.547862,0.000016063932450730417,0.,0.,0.,0.,0.,0.
"On-shell VB",3.3974938318062027e-10,4.0728645046639536e-11,0.0002593506741836796,0.00003006138701513357,0.547862,0.000016063932450730417,0.,0.,0.,0.,0.,0.
"50 MeV",3.439452476609916e-10,4.180045955590023e-11,0.00026255362416869585,0.00003082364525717955,0.5493595537879166,0.0002534937900772625,1.4975537879166056,0.2500028774824033,0.3087799563217176,0.05154368376794825,0.015158897547671807,0.002530283567677276
"75 MeV",3.494367977212381e-10,4.321215273901576e-11,0.0002667456471154489,0.000031829502736059464,0.5514213828895074,0.0005872137485950393,3.559382889507412,0.5840096793062237,0.6953443871458362,0.11407986009375301,0.07734549639011704,0.012688794641407658
"100 MeV",3.5758789203830963e-10,4.532424761775748e-11,0.0002729678565177936,0.00003333797751554967,0.5546509747654363,0.0010894273076241907,6.788974765436384,1.0863313484998955,1.295311676888518,0.2072509971016711,0.24487382726187745,0.03917798585693428
