"level","ggOutsidePercent","pi0gOutsidePercent","totalWidthGeV"
"medium",0.011507399054058082,0.0007493650982659221,7.309384690442775e-7
"active",0.011507399054395476,0.0007493650982878916,7.309384690228468e-7
"strict",0.011507399053505481,0.0007493650982171484,7.309384690918391e-7
