"Run","Seed","BestYukawa2Cs2Ms6MB2","BestLoss","CoarseBestY","Alpha","GammaTotal","mPi","MEta","mRho","mOmega","mPhi","GammaRho","GammaOmega","GammaPhi","mKP","mN","g","zNS","zSmBm","PhiPdeg","PhiVdeg"
11,12356,0.00008696969696969696,1.585550845385536,0.00008636363636363636,0.007297525677533678,1.3388729853171255e-6,0.1349764823938687,0.5478570203357618,0.7748250640399772,0.7826460774266578,1.0194679282586863,0.1494219347612036,0.008542443068393829,0.004240629310596142,0.4936813612918922,0.9382720880221839,0.7051857203154089,0.8101639465108093,0.6320431818883925,41.15019349693334,3.2904915850947782
12,12357,0.00010254545454545455,1.5411838665458548,0.00010303030303030303,0.007297525646919715,1.292478391552499e-6,0.13497658757693307,0.5478717193629419,0.7751096795196504,0.782513267997086,1.0194658965907646,0.14810955093588232,0.008597526167508047,0.0042521981805212945,0.49367636418992594,0.9382720886555552,0.6974123508097861,0.7834179834919309,0.6756319654699763,40.962059564655526,3.1103253530072097
13,12358,0.0000826060606060606,1.5975504771845663,0.00008333333333333333,0.007297525648283063,1.2705845981580502e-6,0.13497624292208377,0.547846694892898,0.7749710668554449,0.7829415495943345,1.019461247176289,0.1501161800193317,0.008827052626669414,0.00424931552322041,0.49367211233148744,0.938272088166405,0.7085742235517711,0.8165904228959763,0.656872131589608,41.22788441329996,3.185182667584623
14,12359,0.00010393939393939393,1.5359969805803617,0.00010454545454545455,0.007297525663542482,1.280520199511731e-6,0.13497647321437153,0.547868437113558,0.7748916832010151,0.7827001127512462,1.0194728836428373,0.14839697485536646,0.008737271557207509,0.004243318062938917,0.49365705840216245,0.9382720881556247,0.6773540636599829,0.8262896509324389,0.6533943767597478,40.989996054196666,3.2990765499002728
15,12360,0.00008878787878787879,1.575445044888038,0.00008939393939393939,0.007297525680392847,1.3013470438325269e-6,0.13497743786231306,0.5478764070494784,0.7752560212491809,0.7827545861639821,1.019467739210465,0.1492759035905452,0.008636946180706146,0.004261903290711876,0.4936925926558508,0.9382720883821123,0.6957085426180283,0.8274130156525359,0.6458346617289791,41.189749333234644,3.242389897146647
16,12361,0.00009836363636363635,1.5453304344956578,0.00009848484848484848,0.007297525691643277,1.2654917504829828e-6,0.1349763959253128,0.547862278508865,0.7752045144571933,0.782635111784226,1.0194660650565963,0.15084496387136231,0.0087426644833458,0.004254987432605936,0.49368577143176934,0.9382720885430692,0.6876063241807014,0.8188097749207193,0.657762463900894,41.15949254247749,3.1715890773706383
17,12362,0.00008333333333333333,1.6447430457554542,0.00008333333333333333,0.007297525665587516,1.3088847568668603e-6,0.1349777375890352,0.5478727179382225,0.7756533662920411,0.782423016317467,1.0194359258451442,0.14954655494535443,0.008610799611696132,0.004256261700439758,0.4936976868155725,0.9382720879632804,0.7048582036621062,0.8111703933381414,0.6487915503015516,40.08762419584352,3.363415837203842
18,12363,0.00008206060606060606,1.618509501066388,0.00008181818181818182,0.0072975256502208945,1.3830607643946772e-6,0.1349774936014101,0.5478894399119806,0.7753537508709009,0.7826294778343462,1.0194651749483636,0.14926433373667838,0.00852935973038857,0.0042425655695958854,0.49366860619992087,0.9382720879947727,0.6845720339289227,0.8676809280317905,0.6377078787890379,40.758989878551475,3.1792009878915555
19,12364,0.00006715151515151515,1.6473124614010022,0.00006666666666666667,0.007297525678052421,1.3489744346441327e-6,0.13497715161304366,0.5478358533015697,0.77550668093138,0.7827113452707762,1.019461734866242,0.149332010504423,0.008885599046551961,0.004264598415513405,0.4936899899892971,0.9382720881805917,0.7262804668312893,0.8301094968165269,0.668003841464988,41.535932826707075,3.3446281525685686
20,12365,0.00009533333333333334,1.569953266329839,0.00009545454545454546,0.007297525638021045,1.3292288323534506e-6,0.13497651561388516,0.5478567984478854,0.7755240407784513,0.7826880333317265,1.019443798915941,0.14877158543934751,0.008816498461163873,0.004253602282512962,0.493656440300075,0.9382720884891341,0.6903932950419972,0.8193140434394828,0.6572645537759406,40.815958134640724,3.399899963787616
