"Scenario","WidthCentral","WidthSigma","BRCentral","BRSigma","CentroidCentral","CentroidSigma","MassShiftMeVCentral","MassShiftMeVSigma","GGOutsidePercentCentral","GGOutsidePercentSigma","PiGammaOutsidePercentCentral","PiGammaOutsidePercentSigma"
"SM",6.752486790574766e-7,4.894390828705077e-8,0.0035917482928589177,0.0002831222848893066,0.95778,0.00005327400366666902,0.,0.,0.,0.,0.,0.
"On-shell VB",7.302341177047893e-7,5.2570385488263805e-8,0.003884224030344624,0.00030031377563732165,0.95778,0.00005327400366666902,0.,0.,0.,0.,0.,0.
"50 MeV",7.305441750597255e-7,5.259534033033082e-8,0.0038858732715942846,0.00030041229011213143,0.9578699092261407,0.00005800909048166734,0.08990922614071639,0.021253511272078418,0.005175772890786755,0.0012234391921785075,0.0001449544008286869,0.000034263514218052904
"75 MeV",7.309384690228468e-7,5.2627227457042436e-8,0.003887970579908759,0.0003005383060969247,0.9579872381693231,0.00007354021473111645,0.20723816932310957,0.048957129209536036,0.011507399054395476,0.0027183419458445984,0.0007493650982878916,0.00017701656521753163
"100 MeV",7.315031232806239e-7,5.26731886996806e-8,0.0038909740600033185,0.00030072020418570804,0.9581608540459063,0.00010600029313015124,0.38085404590637584,0.08988845020129337,0.0212826573964503,0.005022870677760568,0.0024198219210746323,0.000571088345954029
